conversation,cluster_final,cluster_name,timestamp,failure_mode,in_scope
"i need 8 megawatts, what sites can provide this in california?",0,German Language - Mixed Content,2025-11-11T20:14:48.597400,Language Barrier + Mixed Scope,Partial
what is our capacity availability in el segundo currently,0,German Language - Mixed Content,2025-11-11T20:14:13.473357,Language Barrier + Mixed Scope,Partial
What is the level redundancy of the rectifier system at PAR13,0,German Language - Mixed Content,2025-11-11T09:28:49.803869,Language Barrier + Mixed Scope,Partial
Explain N+1,2,Corporate Mixed Queries,2025-11-11T09:18:30.332077,No-Hit (Out-of-Scope),Partial
why not the same pricing regrdless of market,2,Corporate Mixed Queries,2025-11-11T00:35:48.325616,No-Hit (Out-of-Scope),Partial
"Metro Connect and fiber packs, can you let me know if they are linked to the term of the contract, and can only be terminated upon the end of the term?  Thank you,",4,Site Discovery & Location Queries,2025-11-10T17:17:36.920082,,Yes
is Service Fabric available at DFW10,1,Connectivity & Cross-Connects,2025-11-10T16:06:43.930198,,Yes
"=IF('Sheet1 - Report'!M3="""","""",'Sheet1 - Report'!M3) i have this formula in excel. change it so that if Sheet1-Report1 M3 is zero or empty space, then empty spance, otherwise Sheet1-Report1 M3",3,Miscellaneous/Testing,2025-11-10T09:59:08.372488,No-Hit (Out-of-Scope),No
Please draft a variations clause for me,3,Miscellaneous/Testing,2025-11-10T07:23:26.464908,No-Hit (Out-of-Scope),No
please draft a clean tracked-change version comparing the old and new clauses side-by-side,3,Miscellaneous/Testing,2025-11-10T06:56:47.733016,No-Hit (Out-of-Scope),No
"Yes please draft a clean tracked-change version comparing the old and new clauses side-by-side, or provide a summarized table of differences for review.",3,Miscellaneous/Testing,2025-11-10T06:55:50.100194,No-Hit (Out-of-Scope),No
"yes, please prepare a a side-by-side table or a marked-up version with tracked changes",3,Miscellaneous/Testing,2025-11-10T06:46:22.773370,No-Hit (Out-of-Scope),No
i am going to send you two different clauses and i need you to do a comparison showing the changes made inline to each clause,3,Miscellaneous/Testing,2025-11-10T06:43:52.601064,No-Hit (Out-of-Scope),No
can you write me an standard for electrical projects and placing cable ladders and,3,Miscellaneous/Testing,2025-11-10T06:23:11.216050,No-Hit (Out-of-Scope),No
please optime this,2,Corporate Mixed Queries,2025-11-09T11:52:03.455328,No-Hit (Out-of-Scope),Partial
so its not tap off unit?,2,Corporate Mixed Queries,2025-11-08T03:16:50.863657,No-Hit (Out-of-Scope),Partial
what does a tou stand for,2,Corporate Mixed Queries,2025-11-08T03:15:32.854380,No-Hit (Out-of-Scope),Partial
how do i transfer my signon authorization to a new phone,3,Miscellaneous/Testing,2025-11-07T19:15:56.021129,No-Hit (Out-of-Scope),No
what is the maximum kw per rack we can support with liquid cooling?,0,German Language - Mixed Content,2025-11-07T14:16:21.201980,Language Barrier + Mixed Scope,Partial
how many hours of pto do i get at 5 years,2,Corporate Mixed Queries,2025-11-07T13:45:22.521383,No-Hit (Out-of-Scope),Partial
Please review the attached request for proposal document,3,Miscellaneous/Testing,2025-11-07T08:03:47.632376,No-Hit (Out-of-Scope),No
i need you to review a request for proposal document by a bank and let me know if there is anything i should take note of from a legal perspective. Please consider yourself as a data centre in house counsel,3,Miscellaneous/Testing,2025-11-07T08:03:01.336854,No-Hit (Out-of-Scope),No
is this sentence correct: the sum should be pro-rated based on the amount of $x,2,Corporate Mixed Queries,2025-11-07T04:42:23.289548,No-Hit (Out-of-Scope),Partial
what is the difference between turn key flex and powered based building?,0,German Language - Mixed Content,2025-11-07T02:16:52.976747,Language Barrier + Mixed Scope,Partial
what is the difference between tkf and pbb?,2,Corporate Mixed Queries,2025-11-07T02:16:09.523563,No-Hit (Out-of-Scope),Partial
does pathway service include fiber?,4,Site Discovery & Location Queries,2025-11-06T20:22:05.310575,,Yes
Please walk you through the ServiceFabric offerings to assist in positioning them effectively.,1,Connectivity & Cross-Connects,2025-11-06T18:44:15.435505,,Yes
"Can you provide a summary of power rates, $ per kW, for all markets where we have presence in EMEA?",0,German Language - Mixed Content,2025-11-06T18:37:50.098212,Language Barrier + Mixed Scope,Partial
find any documents that mention servicefabric discounts,1,Connectivity & Cross-Connects,2025-11-06T17:29:08.601746,,Yes
do partners get a discount for reselling servicefabric?,1,Connectivity & Cross-Connects,2025-11-06T17:27:56.321531,,Yes
yes please,3,Miscellaneous/Testing,2025-11-06T15:53:12.560815,No-Hit (Out-of-Scope),No
